log_id,timestamp,source_ip,destination_ip,port,protocol,bytes_transferred,user_id,status
c0f45a8b-ddd3-4453-af8e-363c27361437,2025-09-01T00:00:00,10.0.0.1,108.85.83.206,8080,HTTPS,64905,cea2e75f-1ee1-4b1d-90f5-242f82a02bed,SUCCESS
a4be2b81-7600-4470-b056-c5d03d2e4ce7,2025-09-01T00:00:00,10.0.0.1,205.65.73.9,80,HTTP,42877,57eba2d7-a4fe-48aa-aa7b-ad0e6f1296b7,SUCCESS
7e3ab00b-f559-4280-bc90-2db9a4627d21,2025-09-01T00:07:00,10.0.0.1,21.120.233.143,80,TCP,84341,f0c2cfac-cf3b-4053-9e79-a6a4c6bbd187,SUCCESS
e9bf61c4-a06d-480b-b304-9f9c613cfbb2,2025-09-01T00:07:00,10.0.0.1,151.191.220.1,22,HTTP,96580,a3a85592-9f3f-4845-87b8-dd199fcdc3cc,SUCCESS
ad49a43d-e84e-4ab7-b54b-38a50d3b4485,2025-09-01T00:21:00,10.0.0.1,65.162.236.253,22,HTTPS,93646,7cd584de-ca92-465c-8ea8-5f7ad356bee6,SUCCESS
ccec00d6-f46c-4cca-b7a6-e2b0c5de8ad7,2025-09-01T00:21:00,10.0.0.1,218.207.169.107,22,HTTPS,88980,f22aa1cf-fe8b-4e78-8492-b46e0f46ffda,SUCCESS
be6075eb-8896-40d8-8507-de7d70b14229,2025-09-01T00:28:00,10.0.0.1,180.40.105.92,22,TCP,97265,89e53854-09b7-4b59-8352-a231c51f8687,SUCCESS
426aad1b-4e13-4db0-a22d-20246efae7a8,2025-09-01T00:28:00,10.0.0.1,70.56.181.236,80,TCP,63990,f0c2cfac-cf3b-4053-9e79-a6a4c6bbd187,SUCCESS
8357e53c-613c-4244-97d8-db23817aaeb1,2025-09-01T00:36:00,10.0.0.1,28.168.255.75,8080,HTTPS,49202,cea2e75f-1ee1-4b1d-90f5-242f82a02bed,SUCCESS
46746a48-c40a-4770-aa1a-f0d8b49c437a,2025-09-01T00:36:00,10.0.0.1,119.248.27.23,22,TCP,76165,4663d48b-596a-4f39-b714-8d69ac9a7d2a,SUCCESS
832f861c-067f-4fe7-960e-1a50d7f7a52d,2025-09-01T00:44:00,10.0.0.1,91.139.209.67,22,TCP,53709,57eba2d7-a4fe-48aa-aa7b-ad0e6f1296b7,SUCCESS
607ec6ec-f998-4696-bc79-48e93182228d,2025-09-01T00:44:00,10.0.0.1,76.32.47.27,8080,HTTP,91052,57eba2d7-a4fe-48aa-aa7b-ad0e6f1296b7,SUCCESS
55f0e3c4-e639-4b53-b933-0adfa73bb34f,2025-09-01T00:50:00,10.0.0.1,2.182.77.95,80,HTTP,60796,82e7a6a3-1f49-4f5a-8a2a-96e5a654a185,SUCCESS
5143d18c-0311-4f2b-925d-e71faf76fdac,2025-09-01T00:50:00,10.0.0.1,87.88.252.143,443,HTTP,77278,cea2e75f-1ee1-4b1d-90f5-242f82a02bed,SUCCESS
fd97971c-5f5d-4f9b-97d8-61d2cbe2e5f0,2025-09-01T00:59:00,10.0.0.1,75.90.122.142,22,HTTP,46638,ac5e7ada-2f2f-4292-a0e4-18083982547a,SUCCESS
dc2ef882-a319-44e6-979e-7431c4680544,2025-09-01T00:59:00,10.0.0.1,214.50.69.228,8080,HTTPS,93635,859c34dd-4540-49a3-b26d-f82b1455d905,SUCCESS
7a4e523a-5ed6-4f19-a446-9920e8b272c9,2025-09-01T01:12:00,10.0.0.1,31.179.40.151,443,HTTPS,68498,3d8cc43f-0f00-40bd-b8b2-34ac61fc0360,SUCCESS
3929c601-ceb7-44db-b9ac-08785339a577,2025-09-01T01:12:00,10.0.0.1,162.140.253.193,22,HTTP,42804,859c34dd-4540-49a3-b26d-f82b1455d905,SUCCESS
ccfb1a50-93b7-44d9-820f-9dd19aeb4f3d,2025-09-01T01:19:00,10.0.0.1,197.105.15.231,443,TCP,73316,879c852e-e8e8-45c3-9ead-5fa56c9ecfbc,SUCCESS
94458720-faaa-40e9-bb28-7b85bd10355c,2025-09-01T01:19:00,10.0.0.1,45.196.103.223,80,HTTPS,88153,b92c2609-888c-471e-bf61-4363556df9d8,SUCCESS
519267f5-7a5d-470d-851c-e4cd5510c55f,2025-09-01T01:34:00,10.0.0.1,101.9.178.201,8080,TCP,53806,4b7e389e-8c78-4e72-ab0b-774df43b399e,SUCCESS
deb980f7-abaf-4e98-891e-fdb7c1e79a27,2025-09-01T01:34:00,10.0.0.1,166.42.75.80,8080,HTTP,75108,cea2e75f-1ee1-4b1d-90f5-242f82a02bed,SUCCESS
26bcff99-3fd9-478b-b885-80e0301be220,2025-09-01T01:41:00,10.0.0.1,113.95.99.190,80,HTTPS,85129,57eba2d7-a4fe-48aa-aa7b-ad0e6f1296b7,SUCCESS
e14eb6f9-ae4d-4684-88d7-485c4ecadd1e,2025-09-01T01:41:00,10.0.0.1,116.58.127.251,443,TCP,69127,cea2e75f-1ee1-4b1d-90f5-242f82a02bed,SUCCESS
ee2fb883-998d-45d4-9ab8-650b66d2ad3f,2025-09-01T01:56:00,10.0.0.1,183.245.129.231,22,TCP,95509,f22aa1cf-fe8b-4e78-8492-b46e0f46ffda,SUCCESS
8ab599b7-620b-43fa-8b75-bbe370eabced,2025-09-01T01:56:00,10.0.0.1,188.180.117.39,80,HTTPS,46398,b92c2609-888c-471e-bf61-4363556df9d8,SUCCESS
c06e0c79-0326-45e4-a40a-f7a4e8f54c8a,2025-09-01T02:04:00,10.0.0.1,203.86.172.213,443,HTTP,51230,9a7a68c7-1b0c-4669-859f-6d352b1e386f,SUCCESS
fe9947b4-7ca9-4611-ac8f-2484daa31698,2025-09-01T02:04:00,10.0.0.1,106.47.77.209,80,HTTPS,56210,5fb2a072-2bab-4b94-9109-9cbea70c5438,SUCCESS
c90cf266-879c-4064-92b6-e1f3db8c727e,2025-09-01T02:10:00,10.0.0.1,140.159.34.105,8080,HTTPS,27577,5fb2a072-2bab-4b94-9109-9cbea70c5438,SUCCESS
1ccc8faa-34d5-42a8-ab48-caae712b673a,2025-09-01T02:10:00,10.0.0.1,54.249.198.28,8080,HTTP,97401,00f99f6f-5fcc-490a-84f9-6b24911c0b2e,SUCCESS
c2cfb94c-c97d-416c-bb31-f32410c318bf,2025-09-01T02:17:00,10.0.0.1,130.94.23.233,80,HTTP,85444,f0c2cfac-cf3b-4053-9e79-a6a4c6bbd187,SUCCESS
24536e30-577e-4f77-a49f-dcc203e7e5fc,2025-09-01T02:17:00,10.0.0.1,36.231.136.114,443,HTTPS,16913,f0c2cfac-cf3b-4053-9e79-a6a4c6bbd187,SUCCESS
