query_id,timestamp,user_id,username,warehouse,query,duration_secs,bytes_scanned,status,error_message
f7425137-916a-4ebe-b842-8afc61daf004,2025-09-01T00:00:00,879c852e-e8e8-45c3-9ead-5fa56c9ecfbc,egarcia,BI_WH_X-SMALL,"SELECT COUNT(*) FROM CUSTOMER_DATA GROUP BY date_trunc('day', created_at)",3.4904055343745006,546651,SUCCESS,
9f0f22f4-38b7-46bd-a060-2151e6c42782,2025-09-01T00:00:00,879c852e-e8e8-45c3-9ead-5fa56c9ecfbc,egarcia,DEV_WH_SMALL,SELECT * FROM SALES_TRANSACTIONS LIMIT 1000,2.139619615937904,841528,SUCCESS,
9bf37e2b-a972-4eb9-a167-a915bff1a178,2025-09-01T00:07:00,859c34dd-4540-49a3-b26d-f82b1455d905,oatkinson,DEV_WH_X-SMALL,"SELECT * FROM USER_ACTIVITY_LOGS WHERE created_at >= dateadd('day', -7, current_date())",0.5347266118378137,715555,SUCCESS,
22652770-3e15-47ff-b024-d78d4f5e9ee8,2025-09-01T00:07:00,3d8cc43f-0f00-40bd-b8b2-34ac61fc0360,rwilliams,BI_WH_LARGE,SELECT * FROM FINANCIAL_METRICS LIMIT 1000,2.6294948881699485,338956,SUCCESS,
30fcd2cc-3dbe-495a-9e22-58acf7e284ed,2025-09-01T00:21:00,4663d48b-596a-4f39-b714-8d69ac9a7d2a,robert93,PROD_WH_SMALL,SELECT * FROM USER_ACTIVITY_LOGS LIMIT 1000,4.704480674201468,424141,SUCCESS,
6df67f84-4200-4029-945d-fca03e29d0f9,2025-09-01T00:21:00,3d8cc43f-0f00-40bd-b8b2-34ac61fc0360,rwilliams,DEV_WH_MEDIUM,"SELECT COUNT(*) FROM EMPLOYEE_RECORDS GROUP BY date_trunc('day', created_at)",1.9097291636089873,739975,SUCCESS,
c164ba6e-2f08-45d7-a540-6e49cecc1bb6,2025-09-01T00:28:00,b92c2609-888c-471e-bf61-4363556df9d8,frank26,BI_WH_X-SMALL,SELECT * FROM CUSTOMER_DATA LIMIT 1000,2.918026044608413,955760,SUCCESS,
6758f19b-0e00-4755-8a7c-22756660bed7,2025-09-01T00:28:00,9a7a68c7-1b0c-4669-859f-6d352b1e386f,andrew16,PROD_WH_LARGE,"SELECT DISTINCT column1, column2 FROM SYSTEM_EVENTS WHERE condition = 'value'",4.163636314444718,941755,SUCCESS,
eb1f3a69-d272-4aa0-8d92-87e9c3681991,2025-09-01T00:36:00,89e53854-09b7-4b59-8352-a231c51f8687,glarsen,PROD_WH_MEDIUM,SELECT * FROM SYSTEM_EVENTS LIMIT 1000,3.942757819898604,548570,SUCCESS,
d068a306-83a1-4a8d-9645-07813eec2108,2025-09-01T00:36:00,f22aa1cf-fe8b-4e78-8492-b46e0f46ffda,brandtmisty,DEV_WH_MEDIUM,SELECT * FROM EMPLOYEE_RECORDS LIMIT 1000,1.0049551605353562,628194,SUCCESS,
a183da41-3925-4a51-8746-a816454c2a6e,2025-09-01T00:44:00,5fb2a072-2bab-4b94-9109-9cbea70c5438,bryancuevas,DEV_WH_X-SMALL,SELECT * FROM EMPLOYEE_RECORDS LIMIT 1000,3.1609635514857475,244128,SUCCESS,
a6696fcb-1c89-4e0d-b8fd-23b3e27e0875,2025-09-01T00:44:00,4b7e389e-8c78-4e72-ab0b-774df43b399e,hardinjennifer,PROD_WH_X-SMALL,"SELECT DISTINCT column1, column2 FROM USER_ACTIVITY_LOGS WHERE condition = 'value'",1.4204047242101572,344547,SUCCESS,
8ea82a0b-3cc4-4771-bb19-0a0334a4e2c4,2025-09-01T00:50:00,4b7e389e-8c78-4e72-ab0b-774df43b399e,hardinjennifer,DEV_WH_SMALL,"SELECT COUNT(*) FROM EMPLOYEE_RECORDS GROUP BY date_trunc('day', created_at)",3.0872655788768704,846913,SUCCESS,
a06602e3-22a4-443c-a5eb-d3891348face,2025-09-01T00:50:00,3d8cc43f-0f00-40bd-b8b2-34ac61fc0360,rwilliams,PROD_WH_X-SMALL,SELECT * FROM USER_ACTIVITY_LOGS LIMIT 1000,0.8755773268174295,731610,SUCCESS,
def513c7-f8ed-44ed-a299-02d291958e9e,2025-09-01T00:59:00,89e53854-09b7-4b59-8352-a231c51f8687,glarsen,DEV_WH_SMALL,"SELECT * FROM FINANCIAL_METRICS WHERE created_at >= dateadd('day', -7, current_date())",0.9834650085389671,203116,SUCCESS,
